Путь,Категории,Кол-во,УЗ,Формат,Рекомендации
Прочее\12.04.01_t.pdf,"standard_address: 9, payment_cvv: 18, special_health: 1",28,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\142_152_Gorgorova.pdf,"standard_fio: 4, standard_email: 2, standard_dob: 9, standard_address: 10, payment_cvv: 43, special_health: 2",70,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\15.04.04.pdf,"standard_address: 8, payment_cvv: 17, special_health: 7",32,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\15.04.06.pdf,"standard_fio: 3, standard_address: 5, payment_cvv: 22, special_health: 1",31,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\16122024_DSU_Pulse.pdf,payment_cvv: 33,33,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\16862016212227.pdf,payment_cvv: 8,8,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\17437679069420.pdf,"standard_address: 5, payment_cvv: 31",36,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\17_av1-202252.pdf,"standard_fio: 2, standard_email: 2, standard_dob: 8, standard_address: 14, payment_cvv: 35, special_health: 4",65,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\18n.pdf,standard_dob: 12,12,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\19n.pdf,standard_dob: 4,4,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\1C_Science-pattern.rtf,"standard_email: 1, payment_cvv: 1",2,УЗ-2,.rtf,AES-256 + RBAC + Аудит
Прочее\2.1.pdf,"standard_email: 1, standard_dob: 1, standard_address: 9, payment_cvv: 8, special_health: 5",24,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\2.2.13.pdf,"standard_address: 9, payment_cvv: 10, special_health: 7",26,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\2.2.14.pdf,"standard_address: 6, payment_cvv: 7, special_health: 6",19,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\2.2.16.pdf,"standard_address: 9, special_health: 1",10,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\2.3.1.pdf,"standard_address: 1, payment_cvv: 1, special_health: 7",9,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\2.3.1_t.pdf,"standard_address: 6, payment_cvv: 7, special_health: 4",17,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\2.3.4.pdf,special_health: 1,1,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\2.3.5.pdf,"standard_address: 2, special_health: 1",3,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\2.3.6.pdf,"standard_address: 3, payment_cvv: 8, special_health: 2",13,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\2.3.7.pdf,"standard_address: 1, payment_cvv: 14, special_health: 3",18,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\2.3.8.pdf,"standard_dob: 14, standard_address: 3, payment_cvv: 38, special_health: 9",64,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\2.4_reg_comisia_etica_r2.pdf,"standard_email: 1, standard_dob: 2",3,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\2.5.13.pdf,"standard_address: 5, special_health: 13",18,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\2.5.4.pdf,"standard_address: 6, state_passport: 1, state_inn: 1, payment_cvv: 14, special_health: 2",24,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\200_bak_Urmosh.docx,payment_cvv: 1,1,УЗ-2,.docx,AES-256 + RBAC + Аудит
